
=== LoRA Training run: 2026-08-29T17:04:58 ===
step | epoch | metrics
1650 | 0.3149 | epoch=0.3148554527239767, grad_norm=0.8336597084999084, learning_rate=9.750000000000002e-06, loss=0.24917182922363282
1675 | 0.3196 | epoch=0.31962598988646124, grad_norm=0.8895522952079773, learning_rate=9.055555555555556e-06, loss=0.20367446899414063
1700 | 0.3244 | epoch=0.3243965270489457, grad_norm=0.545910656452179, learning_rate=8.361111111111111e-06, loss=0.24827701568603516
1725 | 0.3292 | epoch=0.3291670642114302, grad_norm=0.6238952875137329, learning_rate=7.666666666666667e-06, loss=0.24406707763671875
1750 | 0.3339 | epoch=0.3339376013739147, grad_norm=0.6345504522323608, learning_rate=6.972222222222223e-06, loss=0.2648268127441406
1775 | 0.3387 | epoch=0.3387081385363992, grad_norm=0.9090114235877991, learning_rate=6.305555555555556e-06, loss=0.2941581153869629
1800 | 0.3435 | epoch=0.3434786756988837, grad_norm=0.5060567259788513, learning_rate=5.611111111111112e-06, loss=0.24852190017700196
1825 | 0.3482 | epoch=0.3482492128613682, grad_norm=0.8801952600479126, learning_rate=4.9166666666666665e-06, loss=0.3011540412902832
1850 | 0.3530 | epoch=0.35301975002385266, grad_norm=0.4750368297100067, learning_rate=4.222222222222223e-06, loss=0.30384172439575197
1875 | 0.3578 | epoch=0.3577902871863372, grad_norm=0.8135261535644531, learning_rate=3.527777777777778e-06, loss=0.2630516815185547
1900 | 0.3626 | epoch=0.3625608243488217, grad_norm=0.5363910794258118, learning_rate=2.8333333333333335e-06, loss=0.24431266784667968
1925 | 0.3673 | epoch=0.3673313615113062, grad_norm=0.5041805505752563, learning_rate=2.138888888888889e-06, loss=0.19770580291748047
1950 | 0.3721 | epoch=0.3721018986737907, grad_norm=0.5805860161781311, learning_rate=1.4444444444444445e-06, loss=0.28918195724487306
1975 | 0.3769 | epoch=0.37687243583627517, grad_norm=0.8503425121307373, learning_rate=7.5e-07, loss=0.27278186798095705
2000 | 0.3816 | epoch=0.38164297299875966, grad_norm=1.088743805885315, learning_rate=5.555555555555556e-08, loss=0.2579836845397949
2000 | 0.3816 | epoch=0.38164297299875966, eval_loss=0.24696986377239227, eval_runtime=6045.483, eval_samples_per_second=0.174, eval_steps_per_second=0.022, eval_wer=0.39450591377336897
2000 | 0.3816 | epoch=0.38164297299875966, total_flos=9.39780734976e+18, train_loss=0.26972223329544065, train_runtime=31727.9755, train_samples_per_second=1.009, train_steps_per_second=0.063
2000 | 0.3816 | epoch=0.38164297299875966, eval_loss=0.24755176901817322, eval_runtime=5593.3892, eval_samples_per_second=0.188, eval_steps_per_second=0.024, eval_wer=0.38910085209207684

final_eval | {'eval_loss': 0.24755176901817322, 'eval_wer': 0.38910085209207684, 'eval_runtime': 5593.3892, 'eval_samples_per_second': 0.188, 'eval_steps_per_second': 0.024, 'epoch': 0.38164297299875966}
baseline_wer=40.58% | lora_wer=38.91% | improvement=+1.67%
