
=== LoRA Training run: 2026-08-26T21:50:11 ===
step | epoch | metrics
1200 | 0.2290 | epoch=0.2289857837992558, eval_loss=0.25251781940460205, eval_runtime=1077.5012, eval_samples_per_second=0.978, eval_steps_per_second=0.245, eval_wer=0.3919623553351138
1225 | 0.2338 | epoch=0.2337563209617403, grad_norm=0.4531001150608063, learning_rate=8.917356963976114e-05, loss=0.23652976989746094
1250 | 0.2385 | epoch=0.23852685812422478, grad_norm=0.538414716720581, learning_rate=8.893276825274513e-05, loss=0.23713502883911133
1275 | 0.2433 | epoch=0.2432973952867093, grad_norm=0.3619827628135681, learning_rate=8.869196686572914e-05, loss=0.2451807975769043
1300 | 0.2481 | epoch=0.24806793244919378, grad_norm=0.31134992837905884, learning_rate=8.845116547871315e-05, loss=0.22048372268676758
1300 | 0.2481 | epoch=0.24806793244919378, eval_loss=0.2506144344806671, eval_runtime=1086.7285, eval_samples_per_second=0.97, eval_steps_per_second=0.243, eval_wer=0.39361566831997963
1325 | 0.2528 | epoch=0.2528384696116783, grad_norm=0.2483566254377365, learning_rate=8.821036409169718e-05, loss=0.27668806076049807
1350 | 0.2576 | epoch=0.25760900677416276, grad_norm=0.4410257637500763, learning_rate=8.796956270468119e-05, loss=0.2541585159301758
1375 | 0.2624 | epoch=0.26237954393664725, grad_norm=0.35501840710639954, learning_rate=8.77287613176652e-05, loss=0.2792825698852539
1400 | 0.2672 | epoch=0.26715008109913174, grad_norm=0.6237479448318481, learning_rate=8.74879599306492e-05, loss=0.25322355270385744
1400 | 0.2672 | epoch=0.26715008109913174, eval_loss=0.2502613365650177, eval_runtime=1050.6494, eval_samples_per_second=1.003, eval_steps_per_second=0.251, eval_wer=0.38897367417016404
1425 | 0.2719 | epoch=0.27192061826161623, grad_norm=0.6114761233329773, learning_rate=8.72471585436332e-05, loss=0.2156479263305664
1450 | 0.2767 | epoch=0.2766911554241008, grad_norm=0.40085282921791077, learning_rate=8.700635715661723e-05, loss=0.262822322845459
1475 | 0.2815 | epoch=0.28146169258658527, grad_norm=0.29136231541633606, learning_rate=8.676555576960124e-05, loss=0.24869577407836915
